Row_ID,date,state,state_name,death,deathConfirmed,deathIncrease,hospitalizedCurrently,hospitalizedCumulative,hospitalizedIncrease,inIcuCurrently,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,negative,negativeIncrease,totalTestResults,totalTestResultsIncrease,totalTestsViral,totalTestsViralIncrease,totalTestsPeopleViral,totalTestsPeopleViralIncrease,recovered
00090,2020-02-20,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,14,1,0,0,0
00091,2020-02-20,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0
00092,2020-02-20,WA,Washington,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
00093,2020-02-21,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
00094,2020-02-21,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0
00095,2020-02-21,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,10,1,0,0,0
00096,2020-02-21,WA,Washington,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
00097,2020-02-22,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0
00098,2020-02-22,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0
00099,2020-02-22,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0
00100,2020-02-22,WA,Washington,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
00101,2020-02-23,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
00102,2020-02-23,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0
00103,2020-02-23,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0
00104,2020-02-23,WA,Washington,0,0,0,0,0,0,0,0,8,8,1,0,0,0,0,0,0,0,0,0
00105,2020-02-24,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
00106,2020-02-24,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,16,2,0,0,0
00107,2020-02-24,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0
00108,2020-02-24,WA,Washington,0,0,0,0,0,0,0,0,9,9,1,0,0,0,0,0,0,0,0,0
00109,2020-02-25,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0
00110,2020-02-25,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0
00111,2020-02-25,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0
00112,2020-02-25,WA,Washington,0,0,0,0,0,0,0,0,10,10,1,0,0,0,0,0,0,0,0,0
00113,2020-02-26,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
00114,2020-02-26,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0
00115,2020-02-26,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0
00116,2020-02-26,WA,Washington,2,0,2,0,0,0,0,0,12,12,2,0,0,0,0,0,0,0,0,0
00117,2020-02-27,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
00118,2020-02-27,IN,Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
00119,2020-02-27,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0
00120,2020-02-27,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0
00121,2020-02-27,VA,Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,6445,6445,0,0,0,0,0
00122,2020-02-27,WA,Washington,2,0,0,0,0,0,0,0,13,13,1,0,0,0,0,0,0,0,0,0
00123,2020-02-28,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
00124,2020-02-28,IN,Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0
00125,2020-02-28,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,18,2,0,0,0
00126,2020-02-28,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0
00127,2020-02-28,VA,Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,6445,0,0,0,0,0,0
00128,2020-02-28,WA,Washington,4,0,2,0,0,0,0,0,15,15,2,0,0,0,0,0,0,0,0,0
00129,2020-02-29,CT,Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0
00130,2020-02-29,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
00131,2020-02-29,IN,Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,2,0,0,0
00132,2020-02-29,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,19,1,0,0,0
00133,2020-02-29,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,25,15,0,0,0
00134,2020-02-29,VA,Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,6447,2,0,0,0,0,0
00135,2020-02-29,WA,Washington,5,0,1,0,0,0,0,0,18,18,3,0,0,42,42,0,0,41,41,0
00136,2020-03-01,CT,Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,0,0,0
00137,2020-03-01,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
00138,2020-03-01,IN,Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,2,0,0,0
00139,2020-03-01,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,23,4,0,0,0
00140,2020-03-01,MI,Michigan,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0
00141,2020-03-01,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,36,11,36,11,0,0,0
00142,2020-03-01,RI,Rhode Island,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,4,4,4,4,0
00143,2020-03-01,VA,Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,6449,2,0,0,0,0,0
00144,2020-03-01,WA,Washington,8,0,3,0,0,0,0,0,26,26,8,0,0,117,75,0,0,114,73,0
00145,2020-03-01,WY,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
00146,2020-03-02,CT,Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,4,0,0,0
00147,2020-03-02,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
00148,2020-03-02,IN,Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0
00149,2020-03-02,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,29,6,0,0,0
00150,2020-03-02,MI,Michigan,0,0,0,0,0,0,0,0,27,27,13,0,0,0,0,0,0,0,0,0
00151,2020-03-02,NE,Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,0,0,0,0
00152,2020-03-02,RI,Rhode Island,0,0,0,0,0,0,0,0,2,0,0,3,1,4,4,5,1,5,1,0
00153,2020-03-02,VA,Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,6450,1,0,0,0,0,0
00154,2020-03-02,WA,Washington,11,0,3,0,0,0,0,0,43,43,17,0,0,305,188,0,0,298,184,0
00155,2020-03-02,WY,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
00156,2020-03-03,CT,Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,12,4,0,0,0
00157,2020-03-03,FL,Florida,0,0,0,0,0,0,0,0,2,0,2,0,0,19,4,0,0,0,0,0
00158,2020-03-03,IN,Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,8,2,0,0,0
00159,2020-03-03,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,44,15,44,15,0,0,0
00160,2020-03-03,MI,Michigan,0,0,0,0,0,0,0,0,50,50,23,0,0,0,0,0,0,0,0,0
