Acc_ID,Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved
6361,2017S005423    ,Sant Andreu,Navas,Espronceda                                        ,Tuesday,June,20,9,Morning,1,0,1,2
6362,2017S010648    ,Sant Andreu,Navas,Clot / Felip II                                   ,Sunday,December,24,18,Afternoon,2,0,2,2
6363,2017S009947    ,Sant Andreu,Sant Andreu,Onze de Setembre                                  ,Wednesday,November,29,10,Morning,0,0,0,1
6364,2017S007484    ,Sant Andreu,Sant Andreu,Josep Soldevila                                   ,Friday,September,8,17,Afternoon,1,0,1,2
6365,2017S004601    ,Sant Andreu,Navas,Maragall                                          ,Wednesday,May,24,20,Afternoon,1,0,1,1
6366,2017S003847    ,Sant Andreu,Navas,Meridiana                                         ,Sunday,April,30,19,Afternoon,1,0,1,2
6367,2017S005563    ,Sant Andreu,Navas,PalÃ¨ncia / Espronceda                             ,Monday,June,26,15,Afternoon,1,0,1,2
6368,2017S004921    ,Sant Andreu,Navas,Las Navas de Tolosa / Meridiana                   ,Monday,June,5,1,Night,1,0,1,2
6369,2017S008668    ,Sant Andreu,Navas,Meridiana                                         ,Friday,October,20,12,Morning,1,0,1,1
6370,2017S002113    ,Sant Andreu,el CongrÃ©s i els Indians,MATANZAS                                          ,Thursday,March,16,11,Morning,1,0,1,1
6371,2017S009240    ,Sant Andreu,el CongrÃ©s i els Indians,Puerto PrÃ­ncipe / Pinar del RÃ­o                   ,Wednesday,November,8,18,Afternoon,1,0,1,2
6372,2017S010569    ,Sant Andreu,Navas,Felip II / Meridiana                              ,Thursday,December,21,19,Afternoon,1,0,1,2
6373,2017S003626    ,Sant Andreu,el CongrÃ©s i els Indians,Campo Florido / Puerto PrÃ­ncipe                   ,Sunday,April,23,15,Afternoon,0,0,0,2
6374,2017S006771    ,Sant Andreu,Sant Andreu,Meridiana / Pintor Alsamora                       ,Friday,August,4,23,Night,2,0,2,2
6375,2017S007629    ,Sant Andreu,Sant Andreu,Meridiana / Pintor Alsamora                       ,Friday,September,15,7,Morning,2,0,2,1
6376,2017S006817    ,Sant Andreu,Sant Andreu,Meridiana / Pintor Alsamora                       ,Monday,August,7,14,Afternoon,1,0,1,2
6377,2017S009529    ,Sant Andreu,Sant Andreu,Gran de Sant Andreu                               ,Thursday,November,16,19,Afternoon,0,0,0,2
